source_id,program,vendor,doc_type,title,topic,url,language,version,domain,priority,license_note,loader_hint,load_mode,requires_api_key,indexing_policy,reliability,expected_use,caution_policy
autocad_layers_cad_standard_v0_1,AutoCAD,Autodesk,internal_case,AutoCAD — настройка слоёв по CAD-стандарту,layers_cad_standard,internal_cases/autocad_layers_cad_standard.md,ru,v0_1,CAD/standards,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
autocad_plot_ctb_v0_1,AutoCAD,Autodesk,internal_case,AutoCAD — почему линии печатаются не той толщины,plotting_ctb_stb_troubleshooting,internal_cases/autocad_plot_ctb.md,ru,v0_1,CAD/plotting,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
autocad_xref_cleanup_v0_1,AutoCAD,Autodesk,internal_case,AutoCAD — безопасная работа с Xref и очистка DWG,xref_cleanup,internal_cases/autocad_xref_cleanup.md,ru,v0_1,CAD/data_management,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
civil3d_alignment_profile_basic_v0_1,Civil 3D,Autodesk,internal_case,Civil 3D — базовый сценарий создания трассы и профиля,alignments_profiles,internal_cases/civil3d_alignment_profile_basic.md,ru,v0_1,civil_engineering,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
civil3d_coordinate_problem_checklist_v0_1,Civil 3D,Autodesk,internal_case,Civil 3D — чек-лист диагностики проблем с координатами,coordinate_system_diagnostics,internal_cases/civil3d_coordinate_problem_checklist.md,ru,v0_1,geodesy,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
civil3d_surface_from_points_v0_1,Civil 3D,Autodesk,internal_case,Civil 3D — построение поверхности по точкам съёмки,surface_from_points,internal_cases/civil3d_surface_from_points.md,ru,v0_1,geodesy/civil_engineering,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
kompas_associative_drawing_v0_1,KOMPAS-3D,ASCON,internal_case,КОМПАС-3D — получение ассоциативного чертежа из модели,associative_drawing_training,internal_cases/kompas_associative_drawing.md,ru,v0_1,CAD/mechanical,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
kompas_bom_by_document_v0_1,KOMPAS-3D,ASCON,internal_case,КОМПАС-3D — создание спецификации/BOM по документу,bom_by_document,internal_cases/kompas_bom_by_document.md,ru,v0_1,CAD/mechanical,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
nanocad_layers_plot_v0_1,nanoCAD,Nanosoft,internal_case,nanoCAD — настройка слоёв и листа перед печатью,layers_plotting_training,internal_cases/nanocad_layers_plot.md,ru,v0_1,CAD/plotting,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
revit_dwg_import_link_control_v0_1,Revit,Autodesk,internal_case,Revit — безопасное подключение DWG-подложки,dwg_link_import,internal_cases/revit_dwg_import_link_control.md,ru,v0_1,BIM/interoperability,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
